A 0.986493 -0.0180676 1.0 0.7
A 1.98752 -0.0365035 1.0 0.7
A 2.98749 0.0083332 1.0 0.7
A 3.98818 0.0655486 1.0 0.7
A 4.98717 0.112148 1.0 0.7
A 5.98755 0.163574 1.0 0.7
A 6.98629 0.229239 1.0 0.7
A 7.62234 0.0736807 1.0 0.7
A 7.79846 -0.91217 1.0 0.7
A 7.67711 -1.90635 1.0 0.7
A 7.6859 -2.90821 1.0 0.7
A 7.69009 -3.91041 1.0 0.7
A 7.69019 -4.91264 1.0 0.7
A 7.71965 -5.91299 1.0 0.7
A 7.63985 -6.91047 1.0 0.7
A 7.62153 -7.91081 1.0 0.7
A 7.66388 -8.91215 1.0 0.7
A 7.69645 -9.91181 1.0 0.7
A 7.6461 -10.913 1.0 0.7
A 7.62223 -11.914 1.0 0.7
A 7.58596 -12.9148 1.0 0.7
A 7.54673 -13.9144 1.0 0.7
A 7.24471 -14.3119 1.0 0.7
A 6.24314 -14.2881 1.0 0.7
A 5.24186 -14.3008 1.0 0.7
A 4.24212 -14.2304 1.0 0.7
A 3.24282 -14.1538 1.0 0.7
A 2.2421 -14.1321 1.0 0.7
A 1.24103 -14.1089 1.0 0.7
A 0.240277 -14.0957 1.0 0.7
A -0.76114 -14.1021 1.0 0.7
A -1.76327 -14.1091 1.0 0.7
A -2.76789 -14.1194 1.0 0.7
A -3.76937 -14.1364 1.0 0.7
A -4.76988 -14.1555 1.0 0.7
A -5.77062 -14.1931 1.0 0.7
A -6.77185 -14.2394 1.0 0.7
A -7.77392 -14.2261 1.0 0.7
A -8.772 -14.1554 1.0 0.7
A -9.77267 -14.1696 1.0 0.7
A -10.7744 -14.1709 1.0 0.7
A -11.7751 -14.1812 1.0 0.7
A -12.7773 -14.1813 1.0 0.7
A -13.7797 -14.1888 1.0 0.7
A -14.7819 -14.2057 1.0 0.7
A -15.7287 -14.5309 1.0 0.7
A -16.034 -15.4834 1.0 0.7
A -15.9883 -16.4833 1.0 0.7
A -15.8948 -17.4794 1.0 0.7
A -15.4575 -18.381 1.0 0.7
A -14.8843 -19.2021 1.0 0.7
A -14.3755 -20.0634 1.0 0.7
A -14.2073 -21.0505 1.0 0.7
A -14.2652 -22.0495 1.0 0.7
A -14.3143 -23.049 1.0 0.7
A -14.3605 -24.0485 1.0 0.7
A -14.4235 -25.0478 1.0 0.7
A -14.4907 -26.0483 1.0 0.7
A -14.5443 -27.0473 1.0 0.7
A -14.497 -28.0478 1.0 0.7
A -14.5465 -29.0506 1.0 0.7
A -14.5072 -30.0532 1.0 0.7
A -14.4757 -31.0564 1.0 0.7
A -14.4486 -32.0576 1.0 0.7
A -14.5124 -33.0561 1.0 0.7
A -14.6345 -34.0497 1.0 0.7
A -14.6665 -35.0509 1.0 0.7
A -14.7248 -36.0517 1.0 0.7
A -14.7387 -37.0516 1.0 0.7
A -14.7724 -38.0544 1.0 0.7
A -14.7796 -39.0567 1.0 0.7
A -14.7951 -40.0644 1.0 0.7
A -15.1603 -40.9588 1.0 0.7
A -16.1573 -41.0573 1.0 0.7
A -17.1569 -41.0219 1.0 0.7
A -18.1504 -40.8883 1.0 0.7
A -19.1504 -40.8391 1.0 0.7
A -20.153 -40.7925 1.0 0.7
A -21.1558 -40.8163 1.0 0.7
A -22.1573 -40.8484 1.0 0.7
A -23.1585 -40.8663 1.0 0.7
A -24.161 -40.8874 1.0 0.7
A -25.1612 -40.9071 1.0 0.7
A -26.1643 -40.9347 1.0 0.7
A -27.1675 -40.9316 1.0 0.7
A -28.1676 -40.8721 1.0 0.7
A -29.1687 -40.8174 1.0 0.7
A -30.1719 -40.8208 1.0 0.7
A -31.1719 -40.7889 1.0 0.7
A -32.1718 -40.7589 1.0 0.7
A -33.1979 -40.7209 1.0 0.7
A -34.2006 -40.6835 1.0 0.7
A -35.203 -40.7056 1.0 0.7
A -36.2051 -40.7632 1.0 0.7
A -37.2055 -40.7263 1.0 0.7
A -38.2047 -40.6801 1.0 0.7
A -39.2071 -40.7156 1.0 0.7
A -40.2091 -40.77 1.0 0.7
A -41.2077 -40.7115 1.0 0.7
A -42.2108 -40.7066 1.0 0.7
A -43.212 -40.6897 1.0 0.7
A -44.2134 -40.6676 1.0 0.7
A -45.2159 -40.6577 1.0 0.7
A -46.2196 -40.6473 1.0 0.7
A -47.2233 -40.648 1.0 0.7
A -48.224 -40.6576 1.0 0.7
A -49.2239 -40.6775 1.0 0.7
