A 0.0544702 -0.0525066
A 11.7925 -0.0525066
A 12.8221 51.43
A 12.5132 70.5815
A -7.56494 71.0963
A -27.2312 71.5081
A -48.442 93.5426
A -47.9272 98.9998
A -18.3763 99.3087
A -12.7132 94.1604
A 4.89382 94.4693
A 17.4555 95.0871
A 32.9003 97.1464
A 61.9364 103.839
A 67.9084 112.591
A 72.3359 121.652
A 89.531 126.388
A 112.595 134.42
A 139.778 145.746
A 152.443 152.233
A 157.591 159.543
A 163.46 161.808
A 168.299 173.135
A 204.234 192.801
A 212.78 194.242
A 230.49 194.551
A 241.095 196.405
A 248.818 185.696
A 252.216 178.901
A 248.303 166.751
A 239.345 157.896
A 230.374 150.221
